action,landmark,variation,order,goal,task_id
open door to hallway,False,30,0,Your task is to grow a avocado,task-4-grow-fruit
go to hallway,False,30,1,Your task is to grow a avocado,task-4-grow-fruit
open door to workshop,False,30,2,Your task is to grow a avocado,task-4-grow-fruit
go to workshop,False,30,3,Your task is to grow a avocado,task-4-grow-fruit
pick up seed jar,True,30,4,Your task is to grow a avocado,task-4-grow-fruit
open door to hallway,False,30,5,Your task is to grow a avocado,task-4-grow-fruit
go to hallway,False,30,6,Your task is to grow a avocado,task-4-grow-fruit
open door to green house,True,30,7,Your task is to grow a avocado,task-4-grow-fruit
go to green house,True,30,8,Your task is to grow a avocado,task-4-grow-fruit
move avocado seed in seed jar to flower pot 3,True,30,9,Your task is to grow a avocado,task-4-grow-fruit
0,True,30,10,Your task is to grow a avocado,task-4-grow-fruit
move avocado seed in seed jar to flower pot 1,True,30,11,Your task is to grow a avocado,task-4-grow-fruit
0,True,30,12,Your task is to grow a avocado,task-4-grow-fruit
move avocado seed in seed jar to flower pot 2,True,30,13,Your task is to grow a avocado,task-4-grow-fruit
0,True,30,14,Your task is to grow a avocado,task-4-grow-fruit
activate sink,True,30,15,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,16,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 3,True,30,17,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,18,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 1,True,30,19,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,20,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 2,True,30,21,Your task is to grow a avocado,task-4-grow-fruit
deactivate sink,True,30,22,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,23,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,24,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,25,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,26,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,27,Your task is to grow a avocado,task-4-grow-fruit
activate sink,True,30,28,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,29,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 3,True,30,30,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,31,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 1,True,30,32,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,33,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 2,True,30,34,Your task is to grow a avocado,task-4-grow-fruit
deactivate sink,True,30,35,Your task is to grow a avocado,task-4-grow-fruit
close door to outside,True,30,36,Your task is to grow a avocado,task-4-grow-fruit
close door to hallway,True,30,37,Your task is to grow a avocado,task-4-grow-fruit
open bee hive,True,30,38,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,39,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,40,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,41,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,42,Your task is to grow a avocado,task-4-grow-fruit
wait1,True,30,43,Your task is to grow a avocado,task-4-grow-fruit
activate sink,True,30,44,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,45,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 3,True,30,46,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,47,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 1,True,30,48,Your task is to grow a avocado,task-4-grow-fruit
move jug to sink,True,30,49,Your task is to grow a avocado,task-4-grow-fruit
pour jug into flower pot 2,True,30,50,Your task is to grow a avocado,task-4-grow-fruit
deactivate sink,True,30,51,Your task is to grow a avocado,task-4-grow-fruit
focus on avocado,False,30,52,Your task is to grow a avocado,task-4-grow-fruit
0,True,30,53,Your task is to grow a avocado,task-4-grow-fruit
